\U0001F431	\uE04F
\U0001F433	\uE054
\U0001F434	\uE01A
\U0001F435	\uE109
\U0001F436	\uE052
\U0001F437	\uE10B
\U0001F438	\uE531
\U0001F439	\uE524
\U0001F43A	\uE52A
\U0001F43B	\uE051
\U0001F440	\uE419
\U0001F442	\uE41B
\U0001F443	\uE41A
\U0001F444	\uE41C
\U0001F446	\uE22E
\U0001F447	\uE22F
\U0001F448	\uE230
\U0001F449	\uE231
\U0001F44A	\uE00D
\U0001F44B	\uE41E
\U0001F44C	\uE420
\U0001F44D	\uE00E
\U0001F44E	\uE421
\U0001F44F	\uE41F
\U0001F450	\uE422
\U0001F451	\uE10E
\U0001F452	\uE318
\U0001F454	\uE302
\U0001F455	\uE006
\U0001F457	\uE319
\U0001F458	\uE321
\U0001F459	\uE322
\U0001F45C	\uE323
\U0001F45F	\uE007
\U0001F460	\uE13E
\U0001F461	\uE31A
\U0001F462	\uE31B
\U0001F463	\uE536
\U0001F466	\uE001
\U0001F467	\uE002
\U0001F468	\uE004
\U0001F469	\uE005
\U0001F46B	\uE428
\U0001F46E	\uE152
\U0001F46F	\uE429
\U0001F471	\uE515
\U0001F472	\uE516
\U0001F473	\uE517
\U0001F474	\uE518
\U0001F475	\uE519
\U0001F476	\uE51A
\U0001F477	\uE51B
\U0001F478	\uE51C
\U0001F47B	\uE11B
\U0001F47C	\uE04E
\U0001F47D	\uE10C
\U0001F47E	\uE12B
\U0001F47F	\uE11A
\U0001F480	\uE11C
\U0001F481	\uE253
\U0001F482	\uE51E
\U0001F483	\uE51F
\U0001F484	\uE31C
\U0001F485	\uE31D
\U0001F486	\uE31E
\U0001F487	\uE31F
\U0001F488	\uE320
\U0001F489	\uE13B
\U0001F48A	\uE30F
\U0001F48B	\uE003
\U0001F48D	\uE034
\U0001F48E	\uE035
\U0001F48F	\uE111
\U0001F490	\uE306
\U0001F491	\uE425
\U0001F492	\uE43D
\U0001F493	\uE327
\U0001F494	\uE023
\U0001F497	\uE328
\U0001F498	\uE329
\U0001F499	\uE32A
\U0001F49A	\uE32B
\U0001F49B	\uE32C
\U0001F49C	\uE32D
\U0001F49D	\uE437
\U0001F49F	\uE204
\U0001F4A1	\uE10F
\U0001F4A2	\uE334
\U0001F4A3	\uE311
\U0001F4A4	\uE13C
\U0001F4A6	\uE331
\U0001F4A8	\uE330
\U0001F4A9	\uE05A
\U0001F4AA	\uE14C
\U0001F4B0	\uE12F
\U0001F4B1	\uE149
\U0001F4B9	\uE14A
\U0001F4BA	\uE11F
\U0001F4BB	\uE00C
\U0001F4BC	\uE11E
\U0001F4BD	\uE316
\U0001F4BF	\uE126
\U0001F4C0	\uE127
\U0001F4D6	\uE148
\U0001F4DD	\uE301
\U0001F4E0	\uE00B
\U0001F4E1	\uE14B
\U0001F4E2	\uE142
\U0001F4E3	\uE317
\U0001F4E9	\uE103
\U0001F4EB	\uE101
\U0001F4EE	\uE102
\U0001F4F1	\uE00A
\U0001F4F2	\uE104
\U0001F4F3	\uE250
\U0001F4F4	\uE251
\U0001F4F6	\uE20B
\U0001F4F7	\uE008
\U0001F4FA	\uE12A
\U0001F4FB	\uE128
\U0001F4FC	\uE129
\U0001F50A	\uE141
\U0001F50D	\uE114
\U0001F511	\uE03F
\U0001F512	\uE144
\U0001F513	\uE145
\U0001F514	\uE325
\U0001F51D	\uE24C
\U0001F51E	\uE207
\U0001F525	\uE11D
\U0001F528	\uE116
\U0001F52B	\uE113
\U0001F52F	\uE23E
\U0001F530	\uE209
\U0001F531	\uE031
\U0001F532	\uE21A
\U0001F533	\uE21B
\U0001F534	\uE219
\U0001F550	\uE024
\U0001F551	\uE025
\U0001F552	\uE026
\U0001F553	\uE027
\U0001F554	\uE028
\U0001F555	\uE029
\U0001F556	\uE02A
\U0001F557	\uE02B
\U0001F558	\uE02C
\U0001F559	\uE02D
